NUM;NÚMERO DE INSCRIÇÃO;SITUAÇÃO;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
1,05004E+11;39401673955;Presente;B;A;D;D;B;A;B;D;C;D;B;E;E;D;B;E;B;C;B;D;B;C;E;E;A;B;A;C;C;D;B;A;D;D;C;A;A;B;D;D;A;B;B;D;C;E;D;C;D;D;D;D;B;A;B;C;B;D;A;A;D;E;B;A;D;C;C;B;B;D
1,00504E+11;39401673840;Presente;E;B;B;D;C;D;C;B;A;C;E;E;C;B;B;B;E;D;B;A;E;C;E;D;A;D;C;E;E;C;B;A;B;E;D;D;B;C;E;C;A;E;C;A;D;E;A;C;B;A;C;C;E;A;C;D;B;C;E;C;C;D;A;A;D;C;A;B;C;D
1,04802E+11;39401664360;Presente;B;C;D;B;A;C;C;E;D;C;C;E;C;D;B;B;B;B;B;D;A;D;C;E;B;C;E;A;B;C;B;D;E;E;A;D;B;B;E;D;A;C;E;B;C;E;D;D;D;C;C;C;D;A;D;C;E;A;D;D;C;A;D;E;D;B;E;B;B;C
1,00504E+11;39401675432;Ausente;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1,01401E+11;39401636158;Presente;B;B;B;B;C;B;A;B;B;B;B;E;D;B;B;B;B;B;B;B;A;B;B;E;A;A;C;C;C;A;B;B;B;E;B;A;A;B;B;B;B;B;B;B;B;B;B;B;A;B;C;B;A;A;C;C;D;C;A;A;D;A;B;A;E;C;A;B;B;C
1,00504E+11;39401666848;Ausente;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1,04906E+11;39401636417;Presente;E;A;B;C;C;A;C;D;C;C;E;E;D;A;B;B;B;E;B;B;A;A;B;E;A;B;D;C;D;C;B;E;B;C;E;E;A;B;E;E;E;B;E;C;B;A;E;E;E;D;E;A;A;A;C;C;C;D;E;D;A;A;A;A;E;C;A;C;A;A
1,01001E+11;39401684905;Ausente;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1,01504E+11;39401685074;Presente;C;A;E;B;D;B;C;B;D;C;B;E;D;B;B;D;E;D;B;D;B;C;E;E;A;D;A;C;D;D;B;A;C;E;C;E;A;E;E;B;A;C;E;C;C;C;D;E;B;E;B;B;A;B;D;E;A;D;A;D;E;A;C;A;E;D;A;D;A;C
1,03001E+11;39401640088;Presente;E;A;C;E;A;D;B;A;A;E;C;E;B;B;C;E;B;E;E;C;A;B;D;A;A;D;B;A;C;C;B;C;A;C;E;A;A;A;A;C;A;E;C;A;B;C;A;D;A;B;B;D;A;A;A;A;E;D;A;A;A;A;A;A;D;A;A;A;A;D
1,024E+11;39401662644;Ausente;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1,00401E+11;39401652645;Presente;E;A;E;C;D;B;C;A;C;C;C;A;D;C;D;A;D;B;D;B;A;B;C;B;A;D;A;C;C;A;A;A;D;D;C;A;A;C;E;A;B;C;D;D;D;D;C;B;B;D;D;E;A;C;D;C;C;D;A;B;A;A;A;A;D;B;B;C;B;A
1,04802E+11;39401635719;Ausente;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1,036E+11;39401662797;Ausente;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1,04906E+11;39401639931;Presente;E;A;B;C;B;A;C;D;A;D;D;E;D;B;D;D;B;E;B;B;A;B;B;E;A;C;D;C;D;B;A;C;E;B;D;A;D;A;D;E;D;A;A;E;B;C;C;E;A;B;B;A;B;A;C;E;D;C;C;A;B;A;D;A;D;D;E;B;D;D
1,04906E+11;39401668925;Presente;E;A;C;D;A;A;C;E;E;C;A;E;D;E;A;D;B;E;B;B;B;D;E;B;D;B;D;E;D;C;B;A;B;C;E;C;A;B;E;B;E;B;A;D;B;C;E;E;A;B;D;D;C;A;E;E;E;D;C;A;D;A;A;B;E;B;E;E;C;D
1,03801E+11;39401641286;Presente;B;D;D;A;C;C;A;B;C;D;A;E;D;E;C;E;D;C;B;A;A;D;E;D;C;A;D;C;A;D;B;E;B;C;C;C;D;C;B;C;A;D;C;B;D;E;C;E;B;B;D;D;E;E;D;C;C;A;A;A;A;C;D;B;E;C;D;E;C;C
1,04301E+11;39401672080;Presente;E;C;B;D;A;A;D;B;D;C;E;B;D;C;A;A;B;D;B;D;D;D;C;B;A;B;C;B;B;C;B;D;B;C;D;B;A;A;E;E;D;B;A;A;D;C;A;E;D;B;C;E;A;C;C;C;D;A;C;E;D;A;D;E;E;B;A;B;C;A
1,024E+11;39401649885;Presente;E;C;C;D;C;A;E;B;E;D;B;E;D;B;D;D;C;E;B;C;*;B;A;E;A;C;D;E;C;C;B;A;A;E;D;A;A;B;E;E;A;E;D;E;E;C;D;E;B;C;C;D;A;A;E;A;A;D;E;A;D;A;A;A;E;C;A;C;B;D
1,04103E+11;39401664691;Presente;A;C;B;C;B;B;C;E;D;A;B;E;C;B;B;E;D;A;B;C;B;B;C;E;A;A;D;C;D;C;B;A;C;E;B;A;A;C;D;D;E;C;A;C;B;C;D;D;E;D;E;D;B;A;B;C;E;D;B;D;A;A;C;E;E;C;E;D;B;C
1,03705E+11;39401673589;Presente;E;A;C;D;C;B;C;E;C;D;D;E;C;C;D;D;E;B;B;B;B;B;E;E;A;D;A;C;B;A;B;A;C;C;C;A;A;C;D;C;B;B;A;E;B;A;C;E;C;D;C;B;E;A;C;A;D;E;C;A;D;A;C;A;E;C;C;E;B;D
1,032E+11;39401667619;Presente;C;A;B;E;D;C;C;A;A;B;C;E;E;E;A;D;D;E;B;B;B;C;A;E;A;B;A;C;D;D;B;A;C;C;E;A;B;E;D;E;B;C;E;A;B;C;E;B;C;A;C;D;A;B;B;C;D;D;D;A;D;A;C;A;E;C;A;A;B;A
1,04602E+11;39401639758;Ausente;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1,044E+11;39401669667;Presente;E;A;A;C;A;A;C;C;E;E;E;E;D;;D;D;B;;B;;B;;E;E;A;E;A;C;D;;B;A;B;C;C;A;A;B;D;E;B;C;C;C;C;C;C;D;B;D;D;B;C;A;D;A;D;E;C;A;D;A;C;A;E;C;A;C;B;D
1,02701E+11;39401684111;Presente;C;A;C;D;A;C;C;B;E;B;B;E;D;B;C;B;C;C;D;C;A;B;B;E;A;A;D;C;E;C;B;D;A;E;D;E;A;C;E;D;B;E;D;D;C;C;A;D;A;B;C;C;C;A;B;C;E;D;C;A;E;B;A;A;C;E;B;A;C;D
1,04906E+11;39401668913;Ausente;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1,04502E+11;39401664682;Presente;E;A;B;D;B;B;C;C;E;C;D;E;D;D;D;D;B;E;B;C;E;D;E;E;A;A;C;C;D;E;B;A;B;D;A;A;A;C;D;B;A;E;C;A;B;C;B;E;B;D;C;D;A;A;E;A;A;D;E;C;D;A;B;A;D;C;C;D;B;D
1,00504E+11;39401645314;Presente;E;A;C;D;A;A;C;E;C;A;D;E;B;E;A;B;B;E;B;B;A;A;C;B;D;E;D;C;D;E;B;B;B;C;A;D;A;A;E;B;E;B;A;C;B;C;A;E;B;B;D;B;A;A;D;A;E;D;E;A;D;E;C;A;E;C;A;B;B;D
1,02005E+11;39401684882;Ausente;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1,05102E+11;39402646631;Presente;A;A;E;E;B;B;C;E;A;C;C;E;C;B;D;B;A;E;B;C;A;B;D;B;A;B;D;C;E;C;A;A;D;B;D;A;A;A;D;C;B;B;A;C;E;A;C;C;C;C;C;C;D;A;D;E;E;D;A;A;C;B;A;A;D;C;C;E;B;C
1,00504E+11;39401670711;Ausente;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1,04103E+11;39401682258;Ausente;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1,04502E+11;39401637433;Presente;A;A;E;B;C;D;A;C;D;C;C;E;D;A;C;C;B;E;B;A;B;B;B;E;A;D;B;C;E;C;B;D;D;C;D;A;C;C;C;B;A;D;C;D;B;E;E;E;D;E;B;D;A;A;B;A;C;E;E;E;B;A;D;A;E;C;B;A;B;B
1,01703E+11;39401657036;Ausente;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1,05102E+11;39401671887;Presente;A;A;A;A;A;A;A;A;A;A;E;A;A;A;A;A;A;A;B;A;B;B;E;B;A;D;A;B;A;A;B;A;A;A;A;B;A;C;A;A;A;A;B;B;A;B;A;A;A;B;A;D;A;A;E;C;A;A;E;A;C;A;A;A;E;A;A;A;A;D
1,05102E+11;39401682770;Presente;A;C;B;C;C;B;C;D;C;D;C;E;C;C;B;B;B;E;B;D;B;E;B;E;A;D;A;C;B;C;B;D;E;E;E;B;A;C;D;E;B;C;C;C;B;E;B;E;C;D;B;B;A;A;B;C;E;D;D;A;B;A;B;A;E;C;B;E;C;C
1,02005E+11;39401662069;Presente;E;A;D;C;E;A;E;B;D;D;E;E;D;E;C;B;B;E;B;B;E;C;B;E;B;B;A;C;D;C;D;A;C;C;E;D;A;B;B;E;B;B;A;D;C;D;D;E;C;D;C;A;D;B;E;A;D;D;E;A;D;A;E;A;C;A;D;B;B;B
1,05004E+11;39401650862;Ausente;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1,04906E+11;39401683674;Presente;D;A;C;D;A;B;E;D;E;C;D;E;B;A;E;D;A;E;D;D;E;A;A;B;A;D;B;D;C;D;B;D;C;D;A;D;A;C;D;D;*;B;D;B;D;B;D;C;A;C;E;D;A;A;B;A;A;A;E;D;E;A;C;A;A;C;E;D;B;D
1,04502E+11;39401670622;Presente;E;A;B;D;A;A;C;B;E;C;E;E;C;D;B;D;A;E;B;C;E;B;A;E;A;D;A;C;D;D;B;A;C;E;B;A;A;A;D;C;B;A;D;C;E;A;B;E;C;D;A;C;D;A;C;C;A;D;B;E;D;A;A;A;E;C;C;C;B;D
1,02802E+11;39401670216;Ausente;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1,036E+11;39401648666;Presente;C;B;D;B;D;A;E;B;D;B;D;B;D;A;C;E;B;A;B;D;E;B;A;E;A;C;A;C;C;E;B;D;B;C;B;C;E;A;B;D;A;E;B;C;C;A;C;A;D;A;D;B;E;A;C;E;E;C;C;A;D;A;B;C;D;C;D;B;D;C
1,00601E+11;39401679580;Presente;E;A;C;E;C;B;C;B;C;E;D;E;D;C;E;D;B;E;B;D;E;A;E;E;A;D;A;C;D;B;B;A;E;C;C;A;A;C;D;B;A;E;A;D;A;C;C;D;C;B;E;A;D;A;B;C;D;B;B;D;D;A;B;A;E;C;A;E;D;C
1,00401E+11;39401684412;Presente;D;D;C;B;C;A;E;A;B;B;A;E;E;C;B;E;C;E;A;D;E;C;E;A;E;A;D;C;E;C;B;A;B;E;D;B;C;E;E;C;B;B;D;B;E;C;A;C;E;D;C;E;B;B;E;E;C;D;C;B;E;A;B;A;E;B;A;C;A;D
1,03705E+11;39401667217;Ausente;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1,04906E+11;39401667028;Presente;E;A;D;B;A;B;B;E;E;C;A;E;D;C;D;D;A;E;B;C;B;B;E;E;A;D;B;C;D;A;B;A;B;C;A;A;A;C;D;B;B;C;E;C;C;C;A;E;D;D;E;A;A;E;C;A;E;D;C;A;C;A;A;A;E;C;C;E;B;D
1,05004E+11;39402671679;Presente;E;B;B;C;C;B;D;C;E;B;D;E;D;E;C;B;B;D;B;B;E;B;B;E;A;C;B;C;C;C;B;C;B;B;C;C;C;B;C;C;C;E;C;D;B;B;B;C;D;D;C;B;C;B;C;B;C;C;A;A;C;A;A;B;E;C;B;B;C;C
1,05302E+11;39401671297;Presente;E;A;C;E;B;D;B;D;C;D;E;E;A;C;D;C;D;A;B;C;A;B;B;E;A;C;A;C;D;D;B;A;B;D;C;D;D;B;C;E;B;D;C;C;B;C;B;E;D;B;C;B;B;C;D;A;B;A;E;D;D;A;B;A;E;C;A;D;C;E
1,04103E+11;39401639500;Presente;E;A;E;C;B;A;B;E;C;D;E;E;C;B;D;D;C;E;B;D;B;E;E;E;A;D;A;C;B;C;B;A;B;D;E;A;A;C;D;C;A;A;A;B;A;C;A;C;A;B;B;A;A;E;B;A;D;D;E;A;D;A;E;A;E;C;A;C;B;C
1,032E+11;39401665628;Presente;E;A;C;D;A;A;B;D;E;A;E;E;A;C;A;D;A;E;B;D;B;B;E;E;A;D;E;C;D;D;B;A;B;A;E;A;A;A;D;B;B;C;A;B;C;C;E;A;E;B;E;B;A;A;B;C;A;E;D;A;D;A;D;A;E;C;A;C;B;A
1,00601E+11;39401641836;Presente;E;A;B;D;A;A;C;B;E;C;B;E;D;A;D;B;E;E;B;A;A;B;E;E;A;E;A;C;B;D;B;A;B;B;A;A;A;A;D;C;D;C;D;C;B;A;B;E;B;B;E;B;A;A;D;B;E;D;E;A;D;A;A;A;E;C;C;C;B;D
1,01703E+11;39401675331;Presente;E;A;B;E;D;A;B;C;A;C;A;E;D;C;C;B;B;E;B;C;B;A;B;B;B;C;D;C;B;A;E;B;B;E;C;A;B;C;D;E;A;B;E;C;C;A;C;E;D;D;D;B;A;A;A;A;A;A;A;A;A;A;A;A;E;A;A;A;A;A
1,008E+11;39401644201;Ausente;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1,04502E+11;39401653061;Presente;E;A;B;C;A;A;C;D;A;C;A;E;D;E;B;D;B;E;B;B;A;D;E;E;A;D;A;C;B;C;B;A;B;E;C;A;A;C;D;C;B;C;A;E;C;A;B;C;B;D;D;A;A;E;B;A;A;D;C;A;D;A;C;A;E;C;A;C;B;A
1,01504E+11;39401668213;Presente;E;A;B;E;A;A;C;D;C;C;D;E;D;B;B;D;B;E;B;B;E;A;E;E;A;D;A;C;C;B;A;B;B;D;D;A;A;A;D;E;A;E;B;C;B;B;D;C;E;B;A;D;A;B;B;A;E;D;E;B;B;E;A;A;E;C;D;C;B;D
1,00601E+11;39401640427;Presente;B;A;C;C;D;B;E;B;E;C;E;E;A;B;C;C;E;D;B;D;A;B;A;B;A;A;B;C;C;D;B;B;B;C;B;A;E;C;D;A;B;C;D;C;B;D;A;E;C;B;D;C;D;A;B;C;E;D;C;A;E;E;A;D;E;C;C;E;A;C
1,024E+11;39401671502;Presente;A;C;D;E;C;D;B;D;A;C;C;E;A;B;B;A;D;E;B;A;B;B;D;B;A;A;C;C;E;D;A;D;B;E;B;A;A;B;E;E;B;A;A;D;C;C;C;C;D;D;C;B;E;B;B;C;B;C;E;A;E;A;B;A;E;B;C;B;C;A
1,031E+11;39401683296;Presente;B;D;C;A;B;E;A;B;C;D;B;E;D;B;B;B;A;D;D;E;A;A;E;E;A;C;E;C;E;C;B;A;B;A;B;A;A;E;D;E;D;D;E;C;E;C;B;B;A;B;E;B;A;B;D;C;E;D;C;A;E;A;C;A;E;E;A;B;B;D
1,04802E+11;39401662733;Ausente;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1,05004E+11;39401684019;Ausente;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1,02005E+11;39401652002;Presente;C;C;C;E;D;B;D;E;C;D;E;E;C;A;C;B;A;D;B;B;E;C;B;E;A;D;D;C;E;E;B;B;A;E;B;D;C;B;E;D;C;B;B;D;C;C;A;C;E;B;A;C;B;B;B;C;C;E;E;A;B;A;C;A;E;E;A;E;C;C
1,01504E+11;39401669193;Ausente;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1,035E+11;39401671399;Ausente;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1,036E+11;39402684300;Presente;E;A;D;E;B;B;E;C;E;C;E;E;D;C;A;E;B;A;B;D;B;B;E;E;A;C;A;A;C;C;B;E;B;D;B;A;A;B;D;C;B;C;B;C;D;E;A;D;E;B;D;B;E;A;D;C;A;D;C;C;D;E;A;A;D;C;A;D;E;C
1,04301E+11;39401670467;Presente;C;A;D;B;E;C;C;B;B;C;D;E;D;B;B;A;C;A;D;B;A;D;D;B;D;B;B;E;E;C;D;C;D;A;C;E;C;D;E;C;E;D;A;D;D;B;A;E;C;C;E;D;A;C;D;A;D;D;C;D;C;B;E;A;E;D;A;B;A;C
1,03705E+11;39401636014;Ausente;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1,00504E+11;39401672992;Presente;E;C;B;D;A;C;*;D;E;C;B;E;C;A;B;D;C;C;B;B;B;B;B;D;B;C;D;C;E;A;B;C;B;D;E;A;A;A;D;C;A;E;D;B;E;C;A;D;C;D;A;C;A;A;D;E;B;B;*;A;C;B;D;A;D;C;E;A;B;C
